TIMESTAMP,0,ref_temp,precip,soil_tmp,soil_moisture,soil_heat_flux,solar,net_rad_1,WL,WL_temp,wind_speed,wind_direc_mean,wind_direction_sdv,KH2O_volt,battery,CS215_temp,CS215_RH
2012-07-31,120.0,28.5195900538,0.00519489247312,26.8682123656,0.591453629032,2.11397108272,,165.708167339,37.516155914,22.760047043,1.79546975806,144.846817876,24.5738991935,27.2567264785,13.2284005376,25.9265793011,84.2797379032
2012-08-31,120.0,26.9312246696,0.00745374449339,25.776246696,0.609967400881,1.4252246696,,127.857180617,37.6786696035,23.2988722467,2.15947753304,145.989814978,22.4529039648,28.1323039648,12.9839911894,25.6302290749,86.9372070485
2012-09-30,120.0,28.5391458333,0.00225,27.4913888889,0.579450312717,0.673608333333,,131.922657639,37.5676875,23.4550486111,1.93345208333,193.17765,20.9958118056,33.5073423611,13.1092430556,25.1251875,83.8114305556
2012-10-31,120.0,23.1416397849,0.003125,22.9465927419,0.518252688172,-3.1263655914,,102.417965726,36.7873051075,23.209280914,2.3960047043,234.385679435,19.0086666667,91.8922318548,13.2692607527,22.1159610215,80.7836962366
2012-11-30,120.0,17.2580284722,5.55555555556e-05,17.5612222222,0.30551875,-5.79075069444,,77.4576180556,34.5991041667,21.5719444444,2.32694722222,248.585795833,16.6132888889,56.4891659722,13.2826944444,16.5842506944,78.2001180556
2012-12-31,120.0,17.3711794355,0.0010752688172,17.5587231183,0.302844758065,-4.08645698925,,55.1843037634,34.0860685484,20.3078360215,2.36778696237,195.109824597,17.6184603495,159.619655914,13.2175336022,16.6117889785,80.8659408602
2013-01-31,120.0,19.0183763441,0.000389784946237,18.2741599462,0.342213709677,-1.26951344086,,69.8311801075,34.1003225806,19.5609744624,2.40214852151,177.396831317,17.9804146505,36.2715087366,13.2216196237,18.6550676983,83.7252772467
2013-02-28,120.0,18.2093065476,0.000796130952381,17.5525892857,0.317398809524,-1.76679315476,,86.8694456845,33.3874479167,19.22140625,2.52899479167,178.685857887,18.7908370536,227.817148065,13.2794345238,18.9198691943,77.3420075758
2013-03-31,120.0,15.7740873656,0.000490591397849,15.7524596774,0.256407258065,-3.03866913248,,123.685728495,32.6569825269,18.8689583333,2.70633266129,196.060027554,19.036953629,305.974607263,13.3530913978,15.7469592944,64.6915311653
2013-04-30,120.0,22.6815486111,0.000631944444444,20.7402847222,0.2843,1.68851944444,,143.302184028,31.9795625,19.2103263889,2.44197986111,153.400677778,21.9735611111,147.918619444,13.2926944444,22.1694097222,74.7740277778
2013-05-31,120.0,23.9616801075,0.000564516129032,22.0652016129,0.244610887097,0.602946908602,,166.693512769,32.0265524194,20.4601747312,2.41518951613,156.956425403,21.2284173387,181.173061156,13.2927956989,23.0056317204,72.4856115591
